method,seed,iteration,episodes,wall_clock_s,exploitability
DeepCFR,0,2,160,0.2091827499680221,2.3771507517736667
DeepCFR,0,4,320,0.3738824169849977,2.3771507517736667
DeepCFR,0,6,480,0.8196597920032218,3.4725548429152484
DeepCFR,0,8,640,1.2524192499695346,3.8589395114558434
DeepCFR,0,10,800,1.6825626250356436,3.6914505044901995
DeepCFR,0,12,960,2.5963291249936447,3.256435824054938
DeepCFR,0,14,1120,3.5027550420491025,2.8515458547752184
DeepCFR,0,16,1280,4.625182416988537,3.2497487320256226
DeepCFR,0,18,1440,5.980396667029709,2.779936619906748
DeepCFR,0,20,1600,7.345755834016018,2.5596212496695587
DeepCFR,0,22,1760,8.717869083979167,2.2142516337953766
DeepCFR,0,24,1920,10.27842554205563,2.010349207607301
DeepCFR,0,26,2080,12.321762416977435,1.792712157419758
DeepCFR,0,28,2240,13.732645791955292,1.6587272549781333
DeepCFR,0,30,2400,15.145183083950542,1.609409069837834
DeepCFR,0,32,2560,16.559328124974854,1.4315304657983816
DeepCFR,0,34,2720,17.980551999993622,1.3343126948486428
DeepCFR,0,36,2880,19.453560875030234,1.2693428329634988
DeepCFR,0,38,3040,20.89128629199695,1.1779883240755744
DeepCFR,0,40,3200,22.358246791991405,1.0831078562934497
DeepCFR,0,42,3360,23.83583479200024,0.9880470960177108
DeepCFR,0,44,3520,25.311580750043504,0.8976581391894094
DeepCFR,0,46,3680,26.830688458983786,0.9057530413857015
DeepCFR,0,48,3840,28.323105333955027,0.8368809304511107
DeepCFR,0,50,4000,29.80885033402592,0.8001987538764688
DeepCFR,0,52,4160,31.3230970420409,0.7685317814403286
DeepCFR,0,54,4320,32.86755254201125,0.7182802194865554
DeepCFR,0,56,4480,34.372731084004045,0.6704020644643435
DeepCFR,0,58,4640,35.89048262499273,0.660794417233012
DeepCFR,0,60,4800,37.40636920905672,0.6389072197961011
DeepCFR,0,62,4960,38.93849170894828,0.6035449278986316
DeepCFR,0,64,5120,40.51383700000588,0.5747712679654137
DeepCFR,0,66,5280,42.059984749997966,0.5698661609819877
DeepCFR,0,68,5440,43.6142369590234,0.5266913592652426
DeepCFR,0,70,5600,45.179289208957925,0.5294490064522821
DeepCFR,0,72,5760,46.755690666963346,0.5326150412640447
DeepCFR,0,74,5920,48.384877166943625,0.48771394939609375
DeepCFR,0,76,6080,49.985061625018716,0.5137281945787322
DeepCFR,0,78,6240,51.583281124942005,0.4844757609206754
DeepCFR,0,80,6400,53.19067562499549,0.46674966995827455
DeepCFR,0,82,6560,54.802072959020734,0.47014090532394076
DeepCFR,0,84,6720,56.47451037494466,0.4590597289003366
DeepCFR,0,86,6880,58.1077422919916,0.44768545782548774
DeepCFR,0,88,7040,59.74310920899734,0.4392220813948915
DeepCFR,0,90,7200,61.36828258400783,0.4180664159646127
DeepCFR,0,92,7360,63.00519662501756,0.42725985028005214
DeepCFR,0,94,7520,64.65076899994165,0.4116283399717353
DeepCFR,0,96,7680,66.2900886250427,0.4159604133530965
DeepCFR,0,98,7840,67.93232879205607,0.41351345270663686
DeepCFR,0,100,8000,69.5839640420163,0.40987599803241415
DeepCFR,0,102,8160,71.22657499997877,0.39457717382766094
DeepCFR,0,104,8320,72.88613533403259,0.3632956512881637
DeepCFR,0,106,8480,74.5427017089678,0.35263426261410513
DeepCFR,0,108,8640,76.19083537498955,0.36907444705589976
DeepCFR,0,110,8800,77.84595966699999,0.34507755351514696
DeepCFR,0,112,8960,79.50756499997806,0.35025408725256296
DeepCFR,0,114,9120,81.16298525000457,0.3242157226891364
DeepCFR,0,116,9280,82.83831525000278,0.336973212370334
DeepCFR,0,118,9440,84.51245733397081,0.348295409421484
DeepCFR,0,120,9600,86.18192170897964,0.3197041545235836
DeepCFR,0,122,9760,87.8631196670467,0.34458767279292485
DeepCFR,0,124,9920,89.55416370905004,0.3158774375346213
DeepCFR,0,126,10080,91.25283695897087,0.3234541283238922
DeepCFR,0,128,10240,92.97296449996065,0.30898868039802063
DeepCFR,0,130,10400,94.69484424998518,0.34741658220466887
DeepCFR,0,132,10560,96.43456633400638,0.31170026492998393
DeepCFR,0,134,10720,98.1883981670253,0.32046943069363915
DeepCFR,0,136,10880,99.94497937499546,0.28218078783879946
DeepCFR,0,138,11040,101.70202958397567,0.29804096984718054
DeepCFR,0,140,11200,103.46783495903946,0.2927495846179028
DeepCFR,0,142,11360,105.23384691704996,0.306524536838219
DeepCFR,0,144,11520,107.01495479198638,0.2726089752805377
DeepCFR,0,146,11680,108.80142925004475,0.2735052599400098
DeepCFR,0,148,11840,110.60556766705122,0.2557983083840101
DeepCFR,0,150,12000,112.420813041972,0.2606064382185662
