method,seed,iteration,episodes,wall_clock_s,exploitability
NFSP,0,5000,5000,1.368786291917786,2.316709
NFSP,0,10000,10000,2.932146666920744,2.8882327
NFSP,0,15000,15000,4.7679975419305265,2.5566652
NFSP,0,20000,20000,6.727999041904695,2.4703064
NFSP,0,25000,25000,8.743425624910742,2.3675265
NFSP,0,30000,30000,10.827990332967602,2.3078852
NFSP,0,35000,35000,12.92995824990794,2.27332
NFSP,0,40000,40000,15.068852082942612,2.2494888
NFSP,0,45000,45000,17.256610207958147,2.2375312
NFSP,0,50000,50000,19.51016599999275,2.2214737
NFSP,0,55000,55000,21.80569479195401,2.2136264
NFSP,0,60000,60000,24.14924566692207,2.1945343
NFSP,0,65000,65000,26.50919770798646,2.1881998
NFSP,0,70000,70000,28.934048249968328,2.1605444
NFSP,0,75000,75000,31.41950504190754,2.1361327
NFSP,0,80000,80000,33.90991345793009,2.1279693
NFSP,0,85000,85000,36.398595792008564,2.0860991
NFSP,0,90000,90000,38.93511874997057,2.0689096
NFSP,0,95000,95000,41.43629424995743,2.0314932
NFSP,0,100000,100000,43.9824716669973,2.0072262
NFSP,0,105000,105000,46.544480499927886,1.9962292
NFSP,0,110000,110000,49.087648332933895,1.9628175
NFSP,0,115000,115000,51.62403833295684,1.9493319
NFSP,0,120000,120000,54.1219000419369,1.9364109
NFSP,0,125000,125000,56.617976624984294,1.936549
NFSP,0,130000,130000,59.15135066700168,1.9086621
NFSP,0,135000,135000,61.70756170793902,1.9039392
NFSP,0,140000,140000,64.2170769169461,1.9035829
NFSP,0,145000,145000,66.7591189169325,1.884464
NFSP,0,150000,150000,69.29683787492104,1.8685081
NFSP,0,155000,155000,71.90554412500933,1.8567737
NFSP,0,160000,160000,74.46115049999207,1.8472905
NFSP,0,165000,165000,77.04304820799734,1.8248243
NFSP,0,170000,170000,79.63192983297631,1.8041474
NFSP,0,175000,175000,82.27642941696104,1.7950122
NFSP,0,180000,180000,85.66325529199094,1.7777953
NFSP,0,185000,185000,88.27676445792895,1.7713201
NFSP,0,190000,190000,90.89491566701327,1.7423472
NFSP,0,195000,195000,93.51193912490271,1.7235377
NFSP,0,200000,200000,96.10380366700701,1.7182095
NFSP,0,205000,205000,98.71680012496654,1.6924078
NFSP,0,210000,210000,101.34932020795532,1.6873935
NFSP,0,215000,215000,103.99833699990995,1.6714506
NFSP,0,220000,220000,106.61357366701122,1.6609899
NFSP,0,225000,225000,109.2947240419453,1.6354103
NFSP,0,230000,230000,111.90030341700185,1.6308829
NFSP,0,235000,235000,114.51433158293366,1.6128252
NFSP,0,240000,240000,117.17379083298147,1.6023183
NFSP,0,245000,245000,119.79575758299325,1.589011
NFSP,0,250000,250000,122.44915704196319,1.5745249
NFSP,0,255000,255000,125.15355937497225,1.5698694
NFSP,0,260000,260000,127.82466404198203,1.5527511
NFSP,0,265000,265000,130.51353520795237,1.528367
NFSP,0,270000,270000,133.20976804196835,1.5157325
NFSP,0,275000,275000,135.9363570829155,1.5099568
NFSP,0,280000,280000,138.63997633301187,1.4955897
NFSP,0,285000,285000,141.36111545795575,1.4764621
NFSP,0,290000,290000,144.0945159170078,1.4595435
NFSP,0,295000,295000,146.83533645793796,1.445425
NFSP,0,300000,300000,150.3221133329207,1.4260929
NFSP,0,305000,305000,153.03046195791103,1.4096851
NFSP,0,310000,310000,155.7677836669609,1.3826153
NFSP,0,315000,315000,158.52807616698556,1.3697844
NFSP,0,320000,320000,161.2803851669887,1.3519762
NFSP,0,325000,325000,164.02908424998168,1.3341179
NFSP,0,330000,330000,166.79408845794387,1.3174638
NFSP,0,335000,335000,169.5633295829175,1.3010072
NFSP,0,340000,340000,172.35490683291573,1.2882057
NFSP,0,345000,345000,175.15605520794634,1.2597039
NFSP,0,350000,350000,177.93200808297843,1.2552342
NFSP,0,355000,355000,180.7173161249375,1.2379291
NFSP,0,360000,360000,183.53366683295462,1.22491
NFSP,0,365000,365000,186.6205338749569,1.2044623
NFSP,0,370000,370000,189.40831383294426,1.2022731
NFSP,0,375000,375000,192.30014845798723,1.1928635
NFSP,0,380000,380000,195.15684937499464,1.1750201
NFSP,0,385000,385000,198.027130167,1.1647388
NFSP,0,390000,390000,200.90561716700904,1.1576176
NFSP,0,395000,395000,203.75660924997646,1.1406898
NFSP,0,400000,400000,206.5852739579277,1.1311214
NFSP,0,405000,405000,209.4103799170116,1.1187216
NFSP,0,410000,410000,212.24577966693323,1.1137316
NFSP,0,415000,415000,215.091488749953,1.0945449
NFSP,0,420000,420000,217.93509812490083,1.0900222
NFSP,0,425000,425000,220.70959833299275,1.0820127
NFSP,0,430000,430000,223.5133047499694,1.083991
NFSP,0,435000,435000,226.30547420796938,1.0879217
