method,seed,iteration,episodes,wall_clock_s,exploitability
DeepCFR,0,1,80,0.16517004102934152,2.3771507517736667
DeepCFR,0,2,160,0.3165062499465421,2.3771507517736667
DeepCFR,0,3,240,0.4464712080080062,2.3771507517736667
DeepCFR,0,4,320,0.586969833006151,2.3771507517736667
DeepCFR,0,5,400,0.9928507909644395,3.835799765362882
DeepCFR,0,6,480,1.3851830830099061,3.8398234658633967
DeepCFR,0,7,560,1.7849302910035476,3.1527151705866427
DeepCFR,0,8,640,2.1747494579758495,3.9077431627124746
DeepCFR,0,9,720,2.5636149999918416,3.759085189329215
DeepCFR,0,10,800,2.9654240410309285,3.7820455000837687
DeepCFR,0,11,880,3.601858332986012,3.612456993891488
DeepCFR,0,12,960,4.234813041053712,3.3054570528808216
DeepCFR,0,13,1040,4.887338583008386,3.107275962659765
DeepCFR,0,14,1120,5.570613041054457,2.8872877969384696
DeepCFR,0,15,1200,6.216348499991,2.820997657111609
DeepCFR,0,16,1280,7.0834415829740465,2.9362271745861532
DeepCFR,0,17,1360,7.95571791601833,2.6253098772639825
DeepCFR,0,18,1440,8.842515125055797,2.5081773290772924
DeepCFR,0,19,1520,9.715129457996227,2.4317693830106424
DeepCFR,0,20,1600,10.593595874961466,2.2695815716557575
DeepCFR,0,21,1680,11.482146832975559,2.2283513280251928
DeepCFR,0,22,1760,12.379242000053637,2.085300248903251
DeepCFR,0,23,1840,13.283435374964029,1.9136124307936768
DeepCFR,0,24,1920,14.233879833016545,1.8207117469250842
DeepCFR,0,25,2000,15.134098291047849,1.7399707316464474
DeepCFR,0,26,2080,16.0367766659474,1.7101920301582239
DeepCFR,0,27,2160,16.945722040953115,1.5055442353373185
DeepCFR,0,28,2240,17.850941749988124,1.4253071071047319
DeepCFR,0,29,2320,18.75925704103429,1.3732405212156729
DeepCFR,0,30,2400,19.67140929098241,1.328608857170806
DeepCFR,0,31,2480,20.579747374984436,1.2722724368986391
DeepCFR,0,32,2560,21.489829665981233,1.2137479213155107
DeepCFR,0,33,2640,22.40757920802571,1.1830662966135608
DeepCFR,0,34,2720,23.38056904100813,1.107300484657352
DeepCFR,0,35,2800,24.30254658299964,1.0420074128220098
DeepCFR,0,36,2880,25.23142295796424,1.0454160483583237
DeepCFR,0,37,2960,26.1641781659564,1.037973014875099
DeepCFR,0,38,3040,27.107782540959306,0.9739978082899978
