method,seed,iteration,episodes,wall_clock_s,exploitability,eta
NFSP,0,2000,2000,0.8408094169571996,2.1727085,0.05
NFSP,0,4000,4000,1.6990320000331849,2.1727085,0.05
NFSP,0,6000,6000,2.6551632919581607,2.1727085,0.05
NFSP,0,8000,8000,3.5920109590515494,2.1727085,0.05
NFSP,0,10000,10000,4.514334167004563,2.5193424,0.05
NFSP,0,12000,12000,5.426912958966568,2.5676074,0.05
NFSP,0,14000,14000,6.685878416988999,2.8791783,0.05
NFSP,0,16000,16000,7.746773250051774,2.810233,0.05
NFSP,0,18000,18000,8.787677124957554,2.6389256,0.05
NFSP,0,20000,20000,9.846952375024557,2.5611572,0.05
NFSP,0,22000,22000,10.944600417045876,2.5238202,0.05
NFSP,0,24000,24000,12.106051917071454,2.5066314,0.05
NFSP,0,26000,26000,13.293837417033501,2.4737887,0.05
NFSP,0,28000,28000,14.518526167026721,2.442009,0.05
NFSP,0,30000,30000,15.695033333962783,2.4158547,0.05
NFSP,0,32000,32000,16.871139249997213,2.387057,0.05
NFSP,0,34000,34000,18.050196334021166,2.3675635,0.05
NFSP,0,36000,36000,19.238985458971,2.3470335,0.05
NFSP,0,38000,38000,20.442805833998136,2.3351576,0.05
NFSP,0,40000,40000,21.730345834046602,2.3205314,0.05
NFSP,0,42000,42000,23.277925292029977,2.3061938,0.05
NFSP,0,44000,44000,24.71466241707094,2.2904859,0.05
NFSP,0,46000,46000,25.886942874989472,2.2811682,0.05
NFSP,0,48000,48000,27.076061917003244,2.269518,0.05
NFSP,0,50000,50000,28.306961999973282,2.2596388,0.05
NFSP,0,52000,52000,29.55290662497282,2.2527523,0.05
NFSP,0,54000,54000,30.82281329203397,2.251662,0.05
NFSP,0,56000,56000,32.097197541967034,2.2452188,0.05
NFSP,0,58000,58000,33.38000062503852,2.2425694,0.05
NFSP,0,60000,60000,34.67013683402911,2.2425244,0.05
NFSP,0,62000,62000,35.97404820902739,2.2339277,0.05
NFSP,0,64000,64000,37.317290500039235,2.2356062,0.05
NFSP,0,66000,66000,38.68535124999471,2.2342172,0.05
NFSP,0,68000,68000,40.03209049999714,2.233387,0.05
NFSP,0,70000,70000,41.37508745898958,2.2395413,0.05
NFSP,0,72000,72000,42.72701250005048,2.2428343,0.05
NFSP,0,74000,74000,44.07590175000951,2.2443287,0.05
NFSP,0,76000,76000,45.44788700004574,2.2471576,0.05
NFSP,0,78000,78000,46.812111250008456,2.2553084,0.05
NFSP,0,80000,80000,48.204461583984084,2.2624984,0.05
NFSP,0,82000,82000,49.57926345895976,2.2588625,0.05
NFSP,0,84000,84000,50.97118183400016,2.2643664,0.05
NFSP,0,86000,86000,52.38798833405599,2.2642295,0.05
NFSP,0,88000,88000,53.831449749995954,2.2742362,0.05
NFSP,0,90000,90000,55.27290220896248,2.2676787,0.05
NFSP,0,92000,92000,56.70997379196342,2.2651439,0.05
NFSP,0,94000,94000,58.15541808400303,2.24268,0.05
NFSP,0,96000,96000,59.60813475004397,2.2300172,0.05
NFSP,0,98000,98000,61.07940733397845,2.2333622,0.05
NFSP,0,100000,100000,62.54831429198384,2.2168126,0.05
NFSP,0,102000,102000,64.03347975003999,2.2015164,0.05
NFSP,0,104000,104000,65.51223487500101,2.1884825,0.05
NFSP,0,106000,106000,67.0452964999713,2.1760159,0.05
NFSP,0,108000,108000,68.5274641669821,2.1512883,0.05
NFSP,0,110000,110000,70.01323095906992,2.1611588,0.05
NFSP,0,112000,112000,71.68710970901884,2.1368108,0.05
NFSP,0,114000,114000,73.18847733398434,2.1285124,0.05
NFSP,0,116000,116000,74.67716829199344,2.124129,0.05
NFSP,0,118000,118000,76.17445670906454,2.1108496,0.05
NFSP,0,120000,120000,77.73550958395936,2.09266,0.05
NFSP,0,122000,122000,79.27163687499706,2.0942848,0.05
NFSP,0,124000,124000,80.83886091702152,2.086844,0.05
NFSP,0,126000,126000,82.45072962506674,2.079379,0.05
NFSP,0,128000,128000,84.04161575005855,2.069507,0.05
NFSP,0,130000,130000,85.63011645898223,2.0602298,0.05
NFSP,0,132000,132000,87.17432662507053,2.059495,0.05
NFSP,0,134000,134000,88.79461108404212,2.0340075,0.05
NFSP,0,136000,136000,90.38216400006786,2.024259,0.05
NFSP,0,138000,138000,91.92745950003155,2.021077,0.05
NFSP,0,140000,140000,93.45626595895737,2.017939,0.05
NFSP,0,142000,142000,95.00055095902644,2.0239558,0.05
NFSP,0,144000,144000,96.54103116702754,2.0067787,0.05
NFSP,0,146000,146000,98.10680570895784,1.9892225,0.05
NFSP,0,148000,148000,99.66016558406409,1.9941757,0.05
NFSP,0,150000,150000,101.21708433399908,1.9801452,0.05
NFSP,0,152000,152000,102.77351366705261,1.9825393,0.05
NFSP,0,154000,154000,104.45030483405571,1.9769007,0.05
NFSP,0,156000,156000,106.09456087497529,1.962632,0.05
NFSP,0,158000,158000,107.69296145904809,1.9565036,0.05
NFSP,0,160000,160000,109.25177416705992,1.9532356,0.05
NFSP,0,162000,162000,110.82556612498593,1.9467492,0.05
NFSP,0,164000,164000,112.3846318339929,1.9508295,0.05
NFSP,0,166000,166000,113.94772575004026,1.941303,0.05
NFSP,0,168000,168000,115.50566520902794,1.9416347,0.05
NFSP,0,170000,170000,117.08720558404457,1.9225116,0.05
NFSP,0,172000,172000,118.71856549999211,1.935673,0.05
NFSP,0,174000,174000,120.57720120903105,1.9273431,0.05
NFSP,0,176000,176000,123.76256933400873,1.9250456,0.05
NFSP,0,178000,178000,125.96764566702768,1.9183933,0.05
NFSP,0,180000,180000,128.25333604204934,1.9153258,0.05
NFSP,0,182000,182000,130.48814491706435,1.9225159,0.05
NFSP,0,184000,184000,132.75826200004667,1.9055992,0.05
NFSP,0,186000,186000,135.12308666703757,1.9088814,0.05
NFSP,0,188000,188000,137.2832248340128,1.9120791,0.05
NFSP,0,190000,190000,139.58472987497225,1.8976496,0.05
NFSP,0,192000,192000,141.82465204200707,1.9025371,0.05
NFSP,0,194000,194000,144.31964887504,1.8933511,0.05
NFSP,0,196000,196000,146.47280916699674,1.8893695,0.05
NFSP,0,198000,198000,148.60995604202617,1.8968408,0.05
NFSP,0,200000,200000,150.42754533397965,1.8801076,0.05
NFSP,1,2000,2000,0.8595485829282552,2.2701573,0.05
NFSP,1,4000,4000,1.790496457950212,2.2701573,0.05
NFSP,1,6000,6000,2.7586772500071675,2.2701573,0.05
NFSP,1,8000,8000,3.737385999993421,2.2701573,0.05
NFSP,1,10000,10000,4.7095204999204725,2.587937,0.05
NFSP,1,12000,12000,5.682823417009786,2.9786339,0.05
NFSP,1,14000,14000,6.73605312500149,3.09277,0.05
NFSP,1,16000,16000,7.87270341697149,3.0215142,0.05
NFSP,1,18000,18000,9.05029620800633,2.8193934,0.05
NFSP,1,20000,20000,10.261061666999012,2.6737962,0.05
NFSP,1,22000,22000,11.488212249940261,2.589776,0.05
NFSP,1,24000,24000,12.743363332934678,2.5696292,0.05
NFSP,1,26000,26000,14.015597124933265,2.5477314,0.05
NFSP,1,28000,28000,15.308411707985215,2.5232193,0.05
NFSP,1,30000,30000,16.614585332921706,2.4972613,0.05
NFSP,1,32000,32000,17.957324166898616,2.4750922,0.05
NFSP,1,34000,34000,19.359504082938656,2.4532294,0.05
NFSP,1,36000,36000,20.717054541921243,2.4288888,0.05
NFSP,1,38000,38000,22.147533291950822,2.4095793,0.05
NFSP,1,40000,40000,23.519982457975857,2.3903303,0.05
NFSP,1,42000,42000,24.891809207969345,2.3725348,0.05
NFSP,1,44000,44000,26.302259666961618,2.3583584,0.05
NFSP,1,46000,46000,27.721047207945958,2.3430943,0.05
NFSP,1,48000,48000,29.160167416906916,2.3281593,0.05
NFSP,1,50000,50000,30.598608208005317,2.309154,0.05
NFSP,1,52000,52000,32.03860079194419,2.2940364,0.05
NFSP,1,54000,54000,33.48671020800248,2.2878234,0.05
NFSP,1,56000,56000,35.000679791904986,2.2759264,0.05
NFSP,1,58000,58000,37.05640737491194,2.2707574,0.05
NFSP,1,60000,60000,39.30190799990669,2.2646856,0.05
NFSP,1,62000,62000,41.24048204196151,2.2504807,0.05
NFSP,1,64000,64000,43.194368916912936,2.2445598,0.05
NFSP,1,66000,66000,45.12068804190494,2.2447333,0.05
NFSP,1,68000,68000,47.14120700000785,2.2440453,0.05
NFSP,1,70000,70000,48.81906112493016,2.2347322,0.05
NFSP,1,72000,72000,50.29715195798781,2.2276745,0.05
NFSP,1,74000,74000,51.79367658297997,2.2269454,0.05
NFSP,1,76000,76000,53.342429416952655,2.2246025,0.05
NFSP,1,78000,78000,54.91171337501146,2.2208424,0.05
NFSP,1,80000,80000,56.44888995797373,2.2208886,0.05
NFSP,1,82000,82000,57.97791579191107,2.2164674,0.05
NFSP,1,84000,84000,59.51720733300317,2.2266016,0.05
NFSP,1,86000,86000,61.07725179195404,2.2207694,0.05
NFSP,1,88000,88000,62.628352832980454,2.2241268,0.05
NFSP,1,90000,90000,64.19141070800833,2.2252154,0.05
NFSP,1,92000,92000,65.74354816693813,2.2158935,0.05
NFSP,1,94000,94000,67.39776508300565,2.2216444,0.05
NFSP,1,96000,96000,68.95558191696182,2.207345,0.05
NFSP,1,98000,98000,70.50207641697489,2.2028165,0.05
NFSP,1,100000,100000,72.0781429169001,2.1905456,0.05
NFSP,1,102000,102000,73.66366316692438,2.1809006,0.05
NFSP,1,104000,104000,75.23845991690177,2.1725173,0.05
NFSP,1,106000,106000,76.82630570791662,2.1634142,0.05
NFSP,1,108000,108000,78.4231413329253,2.150084,0.05
NFSP,1,110000,110000,80.0293767079711,2.14606,0.05
NFSP,1,112000,112000,81.62489804194774,2.1360846,0.05
NFSP,1,114000,114000,83.22750412498135,2.117865,0.05
NFSP,1,116000,116000,84.82506312499754,2.1187468,0.05
NFSP,1,118000,118000,86.44794508290943,2.1100047,0.05
NFSP,1,120000,120000,88.09206416690722,2.1118665,0.05
NFSP,1,122000,122000,89.72341937490273,2.1042638,0.05
NFSP,1,124000,124000,91.35872379189823,2.1088839,0.05
NFSP,1,126000,126000,92.98807837499771,2.0870683,0.05
NFSP,1,128000,128000,94.62311549996957,2.0774994,0.05
NFSP,1,130000,130000,96.24942437501159,2.0627456,0.05
NFSP,1,132000,132000,97.87884658295661,2.0577188,0.05
NFSP,1,134000,134000,99.52520904201083,2.0392396,0.05
NFSP,1,136000,136000,101.1909003329929,2.027499,0.05
NFSP,1,138000,138000,102.80515583290253,2.0196607,0.05
NFSP,1,140000,140000,104.42992458294611,2.002592,0.05
NFSP,1,142000,142000,106.06761370797176,2.0140672,0.05
NFSP,1,144000,144000,107.72041941690259,1.9960762,0.05
NFSP,1,146000,146000,109.35636804194655,1.9895976,0.05
NFSP,1,148000,148000,111.0640081249876,1.981448,0.05
NFSP,1,150000,150000,112.71179416694213,1.9714812,0.05
NFSP,1,152000,152000,114.30008650000673,1.969041,0.05
NFSP,1,154000,154000,115.92833854199853,1.9495115,0.05
NFSP,1,156000,156000,117.56465416692663,1.9575479,0.05
NFSP,1,158000,158000,119.19305474997964,1.9591668,0.05
NFSP,1,160000,160000,120.8229728329461,1.9540188,0.05
NFSP,1,162000,162000,122.43537699989974,1.9534171,0.05
NFSP,1,164000,164000,124.06262445799075,1.9530048,0.05
NFSP,1,166000,166000,125.68551195797045,1.9276183,0.05
NFSP,1,168000,168000,127.2944723329274,1.9491608,0.05
NFSP,1,170000,170000,128.9458077918971,1.9347491,0.05
NFSP,1,172000,172000,130.70556866691913,1.9340057,0.05
NFSP,1,174000,174000,132.3046782918973,1.9256984,0.05
NFSP,1,176000,176000,133.89789258292876,1.9341719,0.05
NFSP,1,178000,178000,135.50567762495484,1.9095929,0.05
NFSP,1,180000,180000,137.11040683300234,1.9240928,0.05
NFSP,1,182000,182000,138.72186454199255,1.9183084,0.05
NFSP,1,184000,184000,140.3352649169974,1.9258213,0.05
NFSP,1,186000,186000,141.9360165830003,1.9221699,0.05
NFSP,1,188000,188000,143.55566191696562,1.906065,0.05
NFSP,1,190000,190000,145.14340070798062,1.8955806,0.05
NFSP,1,192000,192000,146.81294949993026,1.8854291,0.05
NFSP,1,194000,194000,148.4223577500088,1.8845241,0.05
NFSP,1,196000,196000,150.01319058297668,1.8811072,0.05
NFSP,1,198000,198000,151.63607912498992,1.8778986,0.05
NFSP,1,200000,200000,153.2380062500015,1.8740873,0.05
NFSP,0,2000,2000,0.9430833749938756,2.1727085,0.1
NFSP,0,4000,4000,1.9077666249359027,2.1727085,0.1
NFSP,0,6000,6000,3.049893375020474,2.8337822,0.1
NFSP,0,8000,8000,4.480643125018105,3.0999126,0.1
NFSP,0,10000,10000,5.687161416979507,2.8719857,0.1
NFSP,0,12000,12000,6.810489166993648,2.7009497,0.1
NFSP,0,14000,14000,8.019244958995841,2.583741,0.1
NFSP,0,16000,16000,9.29372554202564,2.5358677,0.1
NFSP,0,18000,18000,10.580763709032908,2.4904404,0.1
NFSP,0,20000,20000,11.893496833974496,2.4416118,0.1
NFSP,0,22000,22000,13.212332875002176,2.3970108,0.1
NFSP,0,24000,24000,14.54685924993828,2.361207,0.1
NFSP,0,26000,26000,15.899836999946274,2.3353326,0.1
NFSP,0,28000,28000,17.295118334004655,2.3186798,0.1
NFSP,0,30000,30000,18.761450916994363,2.3045487,0.1
NFSP,0,32000,32000,20.204865959007293,2.277627,0.1
NFSP,0,34000,34000,21.586477709002793,2.2679796,0.1
NFSP,0,36000,36000,22.97522270900663,2.255466,0.1
NFSP,0,38000,38000,24.389099000021815,2.2515323,0.1
NFSP,0,40000,40000,25.810016958974302,2.2429538,0.1
NFSP,0,42000,42000,27.220673084026203,2.2342026,0.1
NFSP,0,44000,44000,28.63658533396665,2.2297716,0.1
NFSP,0,46000,46000,30.08083708398044,2.2265615,0.1
NFSP,0,48000,48000,31.542182083940133,2.2209988,0.1
NFSP,0,50000,50000,33.03574883402325,2.214777,0.1
NFSP,0,52000,52000,34.54010791704059,2.2069316,0.1
NFSP,0,54000,54000,36.0376851670444,2.202353,0.1
NFSP,0,56000,56000,37.553309459006414,2.1944523,0.1
NFSP,0,58000,58000,39.09249604202341,2.1895666,0.1
NFSP,0,60000,60000,40.631450291955844,2.185636,0.1
NFSP,0,62000,62000,42.18376166699454,2.1868873,0.1
NFSP,0,64000,64000,43.72375279199332,2.1808379,0.1
NFSP,0,66000,66000,45.27743341703899,2.1803658,0.1
NFSP,0,68000,68000,46.82730799994897,2.170907,0.1
NFSP,0,70000,70000,48.38148566696327,2.161283,0.1
NFSP,0,72000,72000,49.93639283394441,2.1473484,0.1
NFSP,0,74000,74000,51.494844708940946,2.1374161,0.1
NFSP,0,76000,76000,53.06389758398291,2.1239977,0.1
NFSP,0,78000,78000,54.648468459025025,2.1235476,0.1
NFSP,0,80000,80000,56.241102666943334,2.1156266,0.1
NFSP,0,82000,82000,57.84926570893731,2.0820916,0.1
NFSP,0,84000,84000,59.44382270902861,2.0886905,0.1
NFSP,0,86000,86000,61.04362370900344,2.0662787,0.1
NFSP,0,88000,88000,62.642136416980065,2.0581748,0.1
NFSP,0,90000,90000,64.26117679197341,2.0401278,0.1
NFSP,0,92000,92000,65.8735455420101,2.0263438,0.1
NFSP,0,94000,94000,67.48913416697178,2.012899,0.1
NFSP,0,96000,96000,69.11656529200263,1.9897839,0.1
NFSP,0,98000,98000,70.74114604201168,1.9903245,0.1
NFSP,0,100000,100000,72.37536741700023,1.9643929,0.1
NFSP,0,102000,102000,73.97077787504531,1.9642786,0.1
NFSP,0,104000,104000,75.57722616696265,1.9530852,0.1
NFSP,0,106000,106000,77.17826879199129,1.9478319,0.1
NFSP,0,108000,108000,78.84413145901635,1.961214,0.1
NFSP,0,110000,110000,80.46961100003682,1.9351118,0.1
NFSP,0,112000,112000,82.0690282919677,1.9179041,0.1
NFSP,0,114000,114000,83.67791500000749,1.9291897,0.1
NFSP,0,116000,116000,85.30498245893978,1.9187294,0.1
NFSP,0,118000,118000,86.93374570901506,1.9001637,0.1
NFSP,0,120000,120000,88.57435899996199,1.8937907,0.1
NFSP,0,122000,122000,90.1974842089694,1.9026505,0.1
NFSP,0,124000,124000,91.80462379194796,1.8717605,0.1
NFSP,0,126000,126000,93.44942041696049,1.8913959,0.1
NFSP,0,128000,128000,95.10449387494009,1.8765595,0.1
NFSP,0,130000,130000,96.73029916698579,1.8788489,0.1
NFSP,0,132000,132000,98.35969225002918,1.8608879,0.1
NFSP,0,134000,134000,100.00065545900725,1.8516318,0.1
NFSP,0,136000,136000,101.63077504199464,1.8575623,0.1
NFSP,0,138000,138000,103.26591458404437,1.8474045,0.1
NFSP,0,140000,140000,104.93443362496328,1.8426807,0.1
NFSP,0,142000,142000,106.5992380840471,1.8365419,0.1
NFSP,0,144000,144000,108.236832124996,1.8183153,0.1
NFSP,0,146000,146000,109.86925054201856,1.8193251,0.1
NFSP,0,148000,148000,111.52773379196879,1.81989,0.1
NFSP,0,150000,150000,113.16399433393963,1.8028296,0.1
NFSP,0,152000,152000,114.81490645895246,1.7906113,0.1
NFSP,0,154000,154000,116.50146958394907,1.793242,0.1
NFSP,0,156000,156000,118.35776008397806,1.7778783,0.1
NFSP,0,158000,158000,119.93710787501186,1.7722261,0.1
NFSP,0,160000,160000,121.5797329590423,1.7580956,0.1
NFSP,0,162000,162000,123.23680549999699,1.7426707,0.1
NFSP,0,164000,164000,124.90542566694785,1.7447963,0.1
NFSP,0,166000,166000,126.53965799999423,1.7477527,0.1
NFSP,0,168000,168000,128.1943518340122,1.7331295,0.1
NFSP,0,170000,170000,129.90461237495765,1.7252967,0.1
NFSP,0,172000,172000,131.56288966699503,1.7094864,0.1
NFSP,0,174000,174000,133.18841158400755,1.7066903,0.1
NFSP,0,176000,176000,134.87800087500364,1.7067494,0.1
NFSP,0,178000,178000,136.5608269169461,1.6896794,0.1
NFSP,0,180000,180000,138.26976962503977,1.6762381,0.1
NFSP,0,182000,182000,139.95551595895085,1.6866179,0.1
NFSP,0,184000,184000,141.65017995901871,1.6645993,0.1
NFSP,0,186000,186000,143.31120083399583,1.6560533,0.1
NFSP,0,188000,188000,144.99835483403876,1.6486828,0.1
NFSP,0,190000,190000,146.6620994999539,1.6424106,0.1
NFSP,0,192000,192000,148.32983754202724,1.6253091,0.1
NFSP,0,194000,194000,149.9926312089665,1.6346666,0.1
NFSP,0,196000,196000,151.65342241700273,1.613178,0.1
NFSP,0,198000,198000,153.34053599997424,1.6111089,0.1
NFSP,0,200000,200000,155.02964275004342,1.601551,0.1
NFSP,1,2000,2000,0.9742048749467358,2.2701573,0.1
NFSP,1,4000,4000,1.9784216249827296,2.2701573,0.1
NFSP,1,6000,6000,3.0032517079962417,2.8185225,0.1
NFSP,1,8000,8000,4.079433250008151,3.2007375,0.1
NFSP,1,10000,10000,5.233782832976431,2.9669914,0.1
NFSP,1,12000,12000,6.443749374942854,2.8023715,0.1
NFSP,1,14000,14000,7.689212540979497,2.6618686,0.1
NFSP,1,16000,16000,8.976981249987148,2.5870934,0.1
NFSP,1,18000,18000,10.287341165938415,2.5581179,0.1
NFSP,1,20000,20000,11.624486458022147,2.511465,0.1
NFSP,1,22000,22000,12.969197583035566,2.465903,0.1
NFSP,1,24000,24000,14.332775125047192,2.4288008,0.1
NFSP,1,26000,26000,15.708675791043788,2.4011507,0.1
NFSP,1,28000,28000,17.09785837493837,2.374107,0.1
NFSP,1,30000,30000,18.496411332977004,2.3517694,0.1
NFSP,1,32000,32000,19.904614166007377,2.3190784,0.1
NFSP,1,34000,34000,21.31383758294396,2.2974682,0.1
NFSP,1,36000,36000,22.750571832992136,2.2733526,0.1
NFSP,1,38000,38000,24.171017250046134,2.2494688,0.1
NFSP,1,40000,40000,25.670181166031398,2.2323284,0.1
NFSP,1,42000,42000,27.137834749999456,2.2217684,0.1
NFSP,1,44000,44000,28.526775790960528,2.2181108,0.1
NFSP,1,46000,46000,29.977729000034742,2.2047439,0.1
NFSP,1,48000,48000,31.450801457976922,2.1969433,0.1
NFSP,1,50000,50000,32.934561416041106,2.19333,0.1
NFSP,1,52000,52000,34.435211749980226,2.1837866,0.1
NFSP,1,54000,54000,35.975460374960676,2.1777525,0.1
NFSP,1,56000,56000,37.49180579103995,2.1709852,0.1
NFSP,1,58000,58000,39.01004787499551,2.1638832,0.1
NFSP,1,60000,60000,40.53551483293995,2.1605153,0.1
NFSP,1,62000,62000,42.08794883301016,2.1499581,0.1
NFSP,1,64000,64000,43.61497137497645,2.1457849,0.1
NFSP,1,66000,66000,45.1483746659942,2.1424537,0.1
NFSP,1,68000,68000,46.71492945798673,2.1253788,0.1
NFSP,1,70000,70000,48.27435408299789,2.1150746,0.1
NFSP,1,72000,72000,49.85540504101664,2.110911,0.1
NFSP,1,74000,74000,51.40331512503326,2.1053948,0.1
NFSP,1,76000,76000,52.9758824580349,2.1027145,0.1
NFSP,1,78000,78000,54.54485908302013,2.0840716,0.1
NFSP,1,80000,80000,56.1103056659922,2.0730228,0.1
NFSP,1,82000,82000,57.69524916599039,2.0636468,0.1
NFSP,1,84000,84000,59.29677716596052,2.0503552,0.1
NFSP,1,86000,86000,60.85906275000889,2.031573,0.1
NFSP,1,88000,88000,62.45034658303484,2.031116,0.1
NFSP,1,90000,90000,64.0553731250111,2.0170283,0.1
NFSP,1,92000,92000,65.6567799160257,2.011723,0.1
NFSP,1,94000,94000,67.26036504097283,2.003838,0.1
NFSP,1,96000,96000,68.85433500004001,1.9953215,0.1
NFSP,1,98000,98000,70.46023249998689,1.9868498,0.1
NFSP,1,100000,100000,72.05624979094137,1.977118,0.1
NFSP,1,102000,102000,73.65281758294441,1.962158,0.1
NFSP,1,104000,104000,75.27075525000691,1.9500606,0.1
NFSP,1,106000,106000,76.88851774996147,1.9470527,0.1
NFSP,1,108000,108000,78.52683716604952,1.9323766,0.1
NFSP,1,110000,110000,80.1222227079561,1.9260724,0.1
NFSP,1,112000,112000,81.70307529100683,1.9191735,0.1
NFSP,1,114000,114000,83.3111618750263,1.9166125,0.1
NFSP,1,116000,116000,84.90614583296701,1.9139035,0.1
NFSP,1,118000,118000,86.50630975002423,1.9115107,0.1
NFSP,1,120000,120000,88.10212412499823,1.8966967,0.1
NFSP,1,122000,122000,89.69781808299012,1.8936076,0.1
NFSP,1,124000,124000,91.31117095798254,1.9039171,0.1
