method,seed,x,unit,progress,wall_clock_s,nash_conv
CFR,0,1,CFR iters,0.02,13.19915470900014,12.611221340388003
CFR,0,3,CFR iters,0.06,58.69731058401521,7.944986039741705
CFR,0,5,CFR iters,0.1,102.36945158394519,6.060365494916181
CFR,0,8,CFR iters,0.16,155.95770249993075,4.202355784741937
CFR,0,11,CFR iters,0.22,213.36659674998373,3.1813879757780854
CFR,0,14,CFR iters,0.28,269.71122233395,2.5829566500006074
CFR,0,17,CFR iters,0.34,327.11684804200195,2.1788079915765612
CFR,0,20,CFR iters,0.4,388.92958241701126,1.9255052123274008
CFR,0,23,CFR iters,0.46,450.3480438339757,1.73281523396547
CFR,0,26,CFR iters,0.52,512.8793800839921,1.5682533552837916
CFR,0,29,CFR iters,0.58,572.8999332499225,1.4008259280293736
CFR,0,32,CFR iters,0.64,630.2620650839526,1.2812910552016108
CFR,0,35,CFR iters,0.7,687.0218608339783,1.1847659179610484
CFR,0,38,CFR iters,0.76,745.1575212919852,1.106159972760255
CFR,0,41,CFR iters,0.82,802.7789468750125,1.0184138963506655
CFR,0,44,CFR iters,0.88,860.3661871249788,0.9600166219557729
CFR,0,47,CFR iters,0.94,918.5726579169277,0.9140797758409536
CFR,0,50,CFR iters,1.0,978.0579029169166,0.8779121805378259
NFSP,0,0,episodes,0.0,0.0,12.290423018385981
NFSP,0,10000,episodes,0.05,60.5515705839498,10.094324970303012
NFSP,0,20000,episodes,0.1,94.22955183393788,9.62225053024463
NFSP,0,30000,episodes,0.15,128.37714254192542,9.666117863283855
NFSP,0,40000,episodes,0.2,161.53535124997143,9.693000102266927
NFSP,0,50000,episodes,0.25,194.98479324998334,9.841485852726102
NFSP,0,60000,episodes,0.3,229.02133199991658,9.86258731949413
NFSP,0,70000,episodes,0.35,265.3785212090006,9.770423402878238
NFSP,0,80000,episodes,0.4,301.5138484169729,9.55551301922328
NFSP,0,90000,episodes,0.45,337.9039832089329,9.3214880899487
NFSP,0,100000,episodes,0.5,377.03022641700227,9.038681165197632
NFSP,0,110000,episodes,0.55,415.1785394169856,8.762318254818211
NFSP,0,120000,episodes,0.6,449.95332679199055,8.511038923443
NFSP,0,130000,episodes,0.65,483.62095649994444,8.256654656309896
NFSP,0,140000,episodes,0.7,517.0715371249244,8.092808648925995
